;train_losses;val_losses;train_accuracies;val_accuracies
0;59.87415120799071;57.44689906983686;0.2740048;0.3498521
1;57.29615050394823;56.63058703044462;0.36369428;0.3811021
2;56.50529908587219;56.226557009318874;0.3888535;0.38627958
3;55.98459076608063;55.798758834071414;0.40816084;0.40551037
4;55.52590322798225;55.561679986807015;0.42205414;0.4129068
5;54.987644783554565;55.07083295223981;0.43893313;0.42696005
6;54.24610104408993;53.79976187373054;0.46321657;0.4718935
7;52.457473434156675;52.60161847898946;0.52165604;0.51053995
8;51.4947235058827;52.19059003457515;0.5531051;0.5196006
9;50.78652885582796;51.80923414512499;0.5763137;0.5345784
10;50.3166937761246;51.82771858802209;0.59167993;0.53069526
11;49.87952768605226;51.503606982485074;0.6041799;0.5430843
12;49.46241277706851;51.359584813992655;0.61890924;0.54974115
13;49.03340828282059;51.2729595680914;0.63300157;0.55011094
14;48.74364097255051;51.30994845847406;0.64263535;0.54974115
15;48.47618377102408;51.122492626573916;0.6512341;0.5554734
16;48.199433928082705;50.99046061024863;0.6599522;0.5576923
17;47.93983274326203;50.95469114766318;0.6683519;0.5641642
18;47.766789493439305;50.962478457117925;0.67372614;0.56305474
19;47.5449342861297;50.8904816046269;0.6807723;0.56527364
20;47.37925018990875;50.80772425860343;0.6861067;0.5637944
21;47.23940986584706;50.82736915949533;0.6912022;0.5636095
22;47.06575214847638;50.791196428107085;0.69585985;0.5658284
23;46.959560734451195;50.797566825821555;0.6988853;0.56786245
24;46.860670918264205;50.803377800439236;0.70262736;0.5661982
25;46.758646490012005;50.742490181556114;0.705414;0.5689719
26;46.65376811908309;50.76932282983904;0.7092755;0.56601334
27;46.591122781547014;50.71449346373067;0.7111863;0.56804734
28;46.55593263662545;50.69487910863211;0.71210194;0.56804734
29;46.451467093692465;50.719861673885546;0.71457005;0.56971157
30;46.40431833449443;50.72208284344193;0.71691877;0.5704512
