;emotions;true_preds;false_preds;accuracy
0;rage;0;743;0.0
1;disgust;0;82;0.0
2;fear;287;481;0.3736979166666667
3;happiness;1141;207;0.8464391691394659
4;sadness;523;388;0.5740944017563118
5;surprise;424;177;0.7054908485856906
6;neutral;586;344;0.6301075268817204
