;emotions;true_preds;false_preds;accuracy
0;rage;137;606;0.18438761776581428
1;disgust;0;82;0.0
2;fear;151;617;0.19661458333333334
3;happiness;1109;239;0.8227002967359051
4;sadness;535;376;0.5872667398463227
5;surprise;397;204;0.6605657237936772
6;neutral;512;418;0.5505376344086022
