;emotions;true_preds;false_preds;accuracy
0;rage;0;743;0.0
1;disgust;0;82;0.0
2;fear;250;518;0.3255208333333333
3;happiness;1110;238;0.8234421364985163
4;sadness;589;322;0.6465422612513722
5;surprise;400;201;0.6655574043261231
6;neutral;516;414;0.5548387096774193
