;emotions;true_preds;false_preds;accuracy
0;rage;343;400;0.4616419919246299
1;disgust;0;82;0.0
2;fear;0;768;0.0
3;happiness;1146;202;0.8501483679525222
4;sadness;560;351;0.6147091108671789
5;surprise;454;147;0.7554076539101497
6;neutral;598;332;0.6430107526881721
